PWSID,PWSName,Size,FacilityID,FacilityName,FacilityWaterType,SamplePointID,SamplePointName,SamplePointType,AssociatedFacilityID,AssociatedSamplePointID,CollectionDate,SampleID,Contaminant,MRL,Units,MethodID,AnalyticalResultsSign,AnalyticalResultValue,SampleEventCode,MonitoringRequirement,Region,State,UCMR1SampleType,Contaminant Classification
GA0630000,Clayton County Water Authority,L,574,William Hooper Filter Plant,SW,301,Finished Water Tap,EP,,,7/16/19,1135075,quinoline,0.02,�g/L,EPA 530,<,,SEA1,AM,4,GA,,Semivolatile organic compound
GA0630000,Clayton County Water Authority,L,574,William Hooper Filter Plant,SW,301,Finished Water Tap,EP,,,7/16/19,1135075,butylated hydroxyanisole,0.03,�g/L,EPA 530,<,,SEA1,AM,4,GA,,Semivolatile organic compound
GA0630000,Clayton County Water Authority,L,574,William Hooper Filter Plant,SW,301,Finished Water Tap,EP,,,7/16/19,1135075,o-toluidine,0.007,�g/L,EPA 530,<,,SEA1,AM,4,GA,,Semivolatile organic compound
GA0630000,Clayton County Water Authority,L,574,William Hooper Filter Plant,SW,301,Finished Water Tap,EP,,,7/16/19,1135075,chlorpyrifos,0.03,�g/L,EPA 525.3,<,,SEA1,AM,4,GA,,Pesticide
GA0630000,Clayton County Water Authority,L,574,William Hooper Filter Plant,SW,301,Finished Water Tap,EP,,,7/16/19,1135075,tribufos,0.07,�g/L,EPA 525.3,<,,SEA1,AM,4,GA,,Pesticide
GA0630000,Clayton County Water Authority,L,574,William Hooper Filter Plant,SW,301,Finished Water Tap,EP,,,7/16/19,1135075,total permethrin,0.04,�g/L,EPA 525.3,<,,SEA1,AM,4,GA,,
GA0630000,Clayton County Water Authority,L,574,William Hooper Filter Plant,SW,301,Finished Water Tap,EP,,,7/16/19,1135075,tebuconazole,0.2,�g/L,EPA 525.3,<,,SEA1,AM,4,GA,,Pesticide
GA0630000,Clayton County Water Authority,L,574,William Hooper Filter Plant,SW,301,Finished Water Tap,EP,,,7/16/19,1135075,profenofos,0.3,�g/L,EPA 525.3,<,,SEA1,AM,4,GA,,Pesticide
GA0630000,Clayton County Water Authority,L,574,William Hooper Filter Plant,SW,301,Finished Water Tap,EP,,,7/16/19,1135075,oxyfluorfen,0.05,�g/L,EPA 525.3,<,,SEA1,AM,4,GA,,Pesticide
GA0630000,Clayton County Water Authority,L,574,William Hooper Filter Plant,SW,301,Finished Water Tap,EP,,,7/16/19,1135075,ethoprop,0.03,�g/L,EPA 525.3,<,,SEA1,AM,4,GA,,Pesticide
GA0630000,Clayton County Water Authority,L,574,William Hooper Filter Plant,SW,301,Finished Water Tap,EP,,,7/16/19,1135075,dimethipin,0.2,�g/L,EPA 525.3,<,,SEA1,AM,4,GA,,Pesticide
GA0630000,Clayton County Water Authority,L,574,William Hooper Filter Plant,SW,301,Finished Water Tap,EP,,,7/16/19,1135075,alpha-hexachlorocyclohexane,0.01,�g/L,EPA 525.3,<,,SEA1,AM,4,GA,,Pesticide
GA0630000,Clayton County Water Authority,L,574,William Hooper Filter Plant,SW,301,Finished Water Tap,EP,,,7/16/19,1135075,germanium,0.3,�g/L,EPA 200.8,<,,SEA1,AM,4,GA,,Metal
GA0630000,Clayton County Water Authority,L,574,William Hooper Filter Plant,SW,301,Finished Water Tap,EP,,,7/16/19,1135075,manganese,0.4,�g/L,EPA 200.8,=,0.858,SEA1,AM,4,GA,,Metal
GA0630000,Clayton County Water Authority,L,574,William Hooper Filter Plant,SW,301,Finished Water Tap,EP,,,7/16/19,1135075,2-methoxyethanol,0.4,�g/L,EPA 541,<,,SEA1,AM,4,GA,,Alcohol
GA0630000,Clayton County Water Authority,L,574,William Hooper Filter Plant,SW,301,Finished Water Tap,EP,,,7/16/19,1135075,2-propen-1-ol,0.5,�g/L,EPA 541,<,,SEA1,AM,4,GA,,Alcohol
GA0630000,Clayton County Water Authority,L,574,William Hooper Filter Plant,SW,301,Finished Water Tap,EP,,,7/16/19,1135075,1-butanol,2.0,�g/L,EPA 541,<,,SEA1,AM,4,GA,,Alcohol
GA0630000,Clayton County Water Authority,L,574,William Hooper Filter Plant,SW,301,Finished Water Tap,EP,,,10/22/19,1156807,tribufos,0.07,�g/L,EPA 525.3,<,,SEA2,AM,4,GA,,Pesticide
GA0630000,Clayton County Water Authority,L,574,William Hooper Filter Plant,SW,301,Finished Water Tap,EP,,,10/22/19,1156807,alpha-hexachlorocyclohexane,0.01,�g/L,EPA 525.3,<,,SEA2,AM,4,GA,,Pesticide
GA0630000,Clayton County Water Authority,L,574,William Hooper Filter Plant,SW,301,Finished Water Tap,EP,,,10/22/19,1156807,chlorpyrifos,0.03,�g/L,EPA 525.3,<,,SEA2,AM,4,GA,,Pesticide
GA0630000,Clayton County Water Authority,L,574,William Hooper Filter Plant,SW,301,Finished Water Tap,EP,,,10/22/19,1156807,ethoprop,0.03,�g/L,EPA 525.3,<,,SEA2,AM,4,GA,,Pesticide
GA0630000,Clayton County Water Authority,L,574,William Hooper Filter Plant,SW,301,Finished Water Tap,EP,,,10/22/19,1156807,2-methoxyethanol,0.4,�g/L,EPA 541,<,,SEA2,AM,4,GA,,Alcohol
GA0630000,Clayton County Water Authority,L,574,William Hooper Filter Plant,SW,301,Finished Water Tap,EP,,,10/22/19,1156807,1-butanol,2.0,�g/L,EPA 541,<,,SEA2,AM,4,GA,,Alcohol
GA0630000,Clayton County Water Authority,L,574,William Hooper Filter Plant,SW,301,Finished Water Tap,EP,,,10/22/19,1156807,dimethipin,0.2,�g/L,EPA 525.3,<,,SEA2,AM,4,GA,,Pesticide
GA0630000,Clayton County Water Authority,L,574,William Hooper Filter Plant,SW,301,Finished Water Tap,EP,,,10/22/19,1156807,oxyfluorfen,0.05,�g/L,EPA 525.3,<,,SEA2,AM,4,GA,,Pesticide
GA0630000,Clayton County Water Authority,L,574,William Hooper Filter Plant,SW,301,Finished Water Tap,EP,,,10/22/19,1156807,profenofos,0.3,�g/L,EPA 525.3,<,,SEA2,AM,4,GA,,Pesticide
GA0630000,Clayton County Water Authority,L,574,William Hooper Filter Plant,SW,301,Finished Water Tap,EP,,,10/22/19,1156807,tebuconazole,0.2,�g/L,EPA 525.3,<,,SEA2,AM,4,GA,,Pesticide
GA0630000,Clayton County Water Authority,L,574,William Hooper Filter Plant,SW,301,Finished Water Tap,EP,,,10/22/19,1156807,total permethrin,0.04,�g/L,EPA 525.3,<,,SEA2,AM,4,GA,,
GA0630000,Clayton County Water Authority,L,574,William Hooper Filter Plant,SW,301,Finished Water Tap,EP,,,10/22/19,1156807,2-propen-1-ol,0.5,�g/L,EPA 541,<,,SEA2,AM,4,GA,,Alcohol
GA0630000,Clayton County Water Authority,L,574,William Hooper Filter Plant,SW,301,Finished Water Tap,EP,,,10/22/19,1156807,o-toluidine,0.007,�g/L,EPA 530,<,,SEA2,AM,4,GA,,Semivolatile organic compound
GA0630000,Clayton County Water Authority,L,574,William Hooper Filter Plant,SW,301,Finished Water Tap,EP,,,10/22/19,1156807,quinoline,0.02,�g/L,EPA 530,<,,SEA2,AM,4,GA,,Semivolatile organic compound
GA0630000,Clayton County Water Authority,L,574,William Hooper Filter Plant,SW,301,Finished Water Tap,EP,,,10/22/19,1156807,butylated hydroxyanisole,0.03,�g/L,EPA 530,<,,SEA2,AM,4,GA,,Semivolatile organic compound
GA0630000,Clayton County Water Authority,L,574,William Hooper Filter Plant,SW,301,Finished Water Tap,EP,,,10/22/19,1156807,manganese,0.4,�g/L,EPA 200.8,<,,SEA2,AM,4,GA,,Metal
GA0630000,Clayton County Water Authority,L,574,William Hooper Filter Plant,SW,301,Finished Water Tap,EP,,,10/22/19,1156807,germanium,0.3,�g/L,EPA 200.8,<,,SEA2,AM,4,GA,,Metal
GA0630000,Clayton County Water Authority,L,574,William Hooper Filter Plant,SW,301,Finished Water Tap,EP,,,2/12/20,1173740,butylated hydroxyanisole,0.03,�g/L,EPA 530,<,,SEA3,AM,4,GA,,Semivolatile organic compound
GA0630000,Clayton County Water Authority,L,574,William Hooper Filter Plant,SW,301,Finished Water Tap,EP,,,1/22/20,1170618,2-propen-1-ol,0.5,�g/L,EPA 541,<,,SEA3,AM,4,GA,,Alcohol
GA0630000,Clayton County Water Authority,L,574,William Hooper Filter Plant,SW,301,Finished Water Tap,EP,,,1/22/20,1170618,2-methoxyethanol,0.4,�g/L,EPA 541,<,,SEA3,AM,4,GA,,Alcohol
GA0630000,Clayton County Water Authority,L,574,William Hooper Filter Plant,SW,301,Finished Water Tap,EP,,,1/22/20,1170618,1-butanol,2.0,�g/L,EPA 541,<,,SEA3,AM,4,GA,,Alcohol
GA0630000,Clayton County Water Authority,L,574,William Hooper Filter Plant,SW,301,Finished Water Tap,EP,,,1/22/20,1170618,germanium,0.3,�g/L,EPA 200.8,<,,SEA3,AM,4,GA,,Metal
GA0630000,Clayton County Water Authority,L,574,William Hooper Filter Plant,SW,301,Finished Water Tap,EP,,,1/22/20,1170618,manganese,0.4,�g/L,EPA 200.8,<,,SEA3,AM,4,GA,,Metal
GA0630000,Clayton County Water Authority,L,574,William Hooper Filter Plant,SW,301,Finished Water Tap,EP,,,1/22/20,1170618,tribufos,0.07,�g/L,EPA 525.3,<,,SEA3,AM,4,GA,,Pesticide
GA0630000,Clayton County Water Authority,L,574,William Hooper Filter Plant,SW,301,Finished Water Tap,EP,,,1/22/20,1170618,total permethrin,0.04,�g/L,EPA 525.3,<,,SEA3,AM,4,GA,,
GA0630000,Clayton County Water Authority,L,574,William Hooper Filter Plant,SW,301,Finished Water Tap,EP,,,1/22/20,1170618,profenofos,0.3,�g/L,EPA 525.3,<,,SEA3,AM,4,GA,,Pesticide
GA0630000,Clayton County Water Authority,L,574,William Hooper Filter Plant,SW,301,Finished Water Tap,EP,,,1/22/20,1170618,ethoprop,0.03,�g/L,EPA 525.3,<,,SEA3,AM,4,GA,,Pesticide
GA0630000,Clayton County Water Authority,L,574,William Hooper Filter Plant,SW,301,Finished Water Tap,EP,,,1/22/20,1170618,oxyfluorfen,0.05,�g/L,EPA 525.3,<,,SEA3,AM,4,GA,,Pesticide
GA0630000,Clayton County Water Authority,L,574,William Hooper Filter Plant,SW,301,Finished Water Tap,EP,,,1/22/20,1170618,dimethipin,0.2,�g/L,EPA 525.3,<,,SEA3,AM,4,GA,,Pesticide
GA0630000,Clayton County Water Authority,L,574,William Hooper Filter Plant,SW,301,Finished Water Tap,EP,,,1/22/20,1170618,alpha-hexachlorocyclohexane,0.01,�g/L,EPA 525.3,<,,SEA3,AM,4,GA,,Pesticide
GA0630000,Clayton County Water Authority,L,574,William Hooper Filter Plant,SW,301,Finished Water Tap,EP,,,1/22/20,1170618,tebuconazole,0.2,�g/L,EPA 525.3,<,,SEA3,AM,4,GA,,Pesticide
GA0630000,Clayton County Water Authority,L,574,William Hooper Filter Plant,SW,301,Finished Water Tap,EP,,,1/22/20,1170618,chlorpyrifos,0.03,�g/L,EPA 525.3,<,,SEA3,AM,4,GA,,Pesticide
GA0630000,Clayton County Water Authority,L,574,William Hooper Filter Plant,SW,301,Finished Water Tap,EP,,,2/12/20,1173740,quinoline,0.02,�g/L,EPA 530,<,,SEA3,AM,4,GA,,Semivolatile organic compound
GA0630000,Clayton County Water Authority,L,574,William Hooper Filter Plant,SW,301,Finished Water Tap,EP,,,2/12/20,1173740,o-toluidine,0.007,�g/L,EPA 530,<,,SEA3,AM,4,GA,,Semivolatile organic compound
GA0630000,Clayton County Water Authority,L,574,William Hooper Filter Plant,SW,301,Finished Water Tap,EP,,,4/13/20,1182953,chlorpyrifos,0.03,�g/L,EPA 525.3,<,,SEA4,AM,4,GA,,Pesticide
GA0630000,Clayton County Water Authority,L,574,William Hooper Filter Plant,SW,301,Finished Water Tap,EP,,,4/13/20,1182953,alpha-hexachlorocyclohexane,0.01,�g/L,EPA 525.3,<,,SEA4,AM,4,GA,,Pesticide
GA0630000,Clayton County Water Authority,L,574,William Hooper Filter Plant,SW,301,Finished Water Tap,EP,,,4/13/20,1182953,butylated hydroxyanisole,0.03,�g/L,EPA 530,<,,SEA4,AM,4,GA,,Semivolatile organic compound
GA0630000,Clayton County Water Authority,L,574,William Hooper Filter Plant,SW,301,Finished Water Tap,EP,,,4/13/20,1182953,quinoline,0.02,�g/L,EPA 530,<,,SEA4,AM,4,GA,,Semivolatile organic compound
GA0630000,Clayton County Water Authority,L,574,William Hooper Filter Plant,SW,301,Finished Water Tap,EP,,,4/13/20,1182953,2-methoxyethanol,0.4,�g/L,EPA 541,<,,SEA4,AM,4,GA,,Alcohol
GA0630000,Clayton County Water Authority,L,574,William Hooper Filter Plant,SW,301,Finished Water Tap,EP,,,4/13/20,1182953,o-toluidine,0.007,�g/L,EPA 530,<,,SEA4,AM,4,GA,,Semivolatile organic compound
GA0630000,Clayton County Water Authority,L,574,William Hooper Filter Plant,SW,301,Finished Water Tap,EP,,,4/13/20,1182953,2-propen-1-ol,0.5,�g/L,EPA 541,<,,SEA4,AM,4,GA,,Alcohol
GA0630000,Clayton County Water Authority,L,574,William Hooper Filter Plant,SW,301,Finished Water Tap,EP,,,4/13/20,1182953,1-butanol,2.0,�g/L,EPA 541,<,,SEA4,AM,4,GA,,Alcohol
GA0630000,Clayton County Water Authority,L,574,William Hooper Filter Plant,SW,301,Finished Water Tap,EP,,,4/13/20,1182953,germanium,0.3,�g/L,EPA 200.8,<,,SEA4,AM,4,GA,,Metal
